Edad simple;Sexo;Periodo;Total
0 años;Total;1 de enero de 2024;321.282
0 años;Total;1 de octubre de 2023;320.555
0 años;Total;1 de julio de 2023;323.944
0 años;Total;1 de abril de 2023;326.380
0 años;Total;1 de enero de 2023;329.968
0 años;Total;1 de octubre de 2022;332.582
0 años;Total;1 de julio de 2022;336.630
0 años;Total;1 de abril de 2022;339.110
0 años;Total;1 de enero de 2022;336.783
0 años;Total;1 de octubre de 2021;328.038
0 años;Total;1 de julio de 2021;327.461
0 años;Total;1 de abril de 2021;329.199
0 años;Total;1 de enero de 2021;339.465
0 años;Total;1 de octubre de 2020;""
0 años;Total;1 de julio de 2020;351.006
0 años;Total;1 de abril de 2020;""
0 años;Total;1 de enero de 2020;360.869
0 años;Total;1 de octubre de 2019;""
0 años;Total;1 de julio de 2019;361.025
0 años;Total;1 de abril de 2019;""
0 años;Total;1 de enero de 2019;369.475
0 años;Total;1 de octubre de 2018;""
0 años;Total;1 de julio de 2018;376.303
0 años;Total;1 de abril de 2018;""
0 años;Total;1 de enero de 2018;391.738
0 años;Total;1 de octubre de 2017;""
0 años;Total;1 de julio de 2017;395.029
0 años;Total;1 de abril de 2017;""
0 años;Total;1 de enero de 2017;408.346
0 años;Total;1 de octubre de 2016;""
0 años;Total;1 de julio de 2016;408.933
0 años;Total;1 de abril de 2016;""
0 años;Total;1 de enero de 2016;418.003
0 años;Total;1 de octubre de 2015;""
0 años;Total;1 de julio de 2015;416.773
0 años;Total;1 de abril de 2015;""
0 años;Total;1 de enero de 2015;424.910
0 años;Total;1 de octubre de 2014;""
0 años;Total;1 de julio de 2014;419.421
0 años;Total;1 de abril de 2014;""
0 años;Total;1 de enero de 2014;423.444
0 años;Total;1 de octubre de 2013;""
0 años;Total;1 de julio de 2013;432.628
0 años;Total;1 de abril de 2013;""
0 años;Total;1 de enero de 2013;451.972
0 años;Total;1 de octubre de 2012;""
0 años;Total;1 de julio de 2012;461.743
0 años;Total;1 de abril de 2012;""
0 años;Total;1 de enero de 2012;475.603
0 años;Total;1 de octubre de 2011;""
0 años;Total;1 de julio de 2011;474.723
0 años;Total;1 de abril de 2011;""
0 años;Total;1 de enero de 2011;484.004
0 años;Total;1 de octubre de 2010;""
0 años;Total;1 de julio de 2010;479.828
0 años;Total;1 de abril de 2010;""
0 años;Total;1 de enero de 2010;493.974
0 años;Total;1 de octubre de 2009;""
0 años;Total;1 de julio de 2009;503.462
0 años;Total;1 de abril de 2009;""
0 años;Total;1 de enero de 2009;519.525
0 años;Total;1 de octubre de 2008;""
0 años;Total;1 de julio de 2008;503.135
0 años;Total;1 de abril de 2008;""
0 años;Total;1 de enero de 2008;493.918
0 años;Total;1 de octubre de 2007;""
0 años;Total;1 de julio de 2007;482.498
0 años;Total;1 de abril de 2007;""
0 años;Total;1 de enero de 2007;483.683
0 años;Total;1 de octubre de 2006;""
0 años;Total;1 de julio de 2006;472.009
0 años;Total;1 de abril de 2006;""
0 años;Total;1 de enero de 2006;466.984
0 años;Total;1 de octubre de 2005;""
0 años;Total;1 de julio de 2005;456.377
0 años;Total;1 de abril de 2005;""
0 años;Total;1 de enero de 2005;455.204
0 años;Total;1 de octubre de 2004;""
0 años;Total;1 de julio de 2004;442.767
0 años;Total;1 de abril de 2004;""
0 años;Total;1 de enero de 2004;443.076
0 años;Total;1 de octubre de 2003;""
0 años;Total;1 de julio de 2003;429.164
0 años;Total;1 de abril de 2003;""
0 años;Total;1 de enero de 2003;419.433
0 años;Total;1 de octubre de 2002;""
0 años;Total;1 de julio de 2002;409.528
0 años;Total;1 de abril de 2002;""
0 años;Total;1 de enero de 2002;411.693
0 años;Total;1 de octubre de 2001;""
0 años;Total;1 de julio de 2001;399.010
0 años;Total;1 de abril de 2001;""
0 años;Total;1 de enero de 2001;395.790
0 años;Total;1 de octubre de 2000;""
0 años;Total;1 de julio de 2000;384.769
0 años;Total;1 de abril de 2000;""
0 años;Total;1 de enero de 2000;379.649
0 años;Total;1 de octubre de 1999;""
0 años;Total;1 de julio de 1999;368.312
0 años;Total;1 de abril de 1999;""
0 años;Total;1 de enero de 1999;365.367
0 años;Total;1 de octubre de 1998;""
0 años;Total;1 de julio de 1998;364.080
0 años;Total;1 de abril de 1998;""
0 años;Total;1 de enero de 1998;367.201
0 años;Total;1 de octubre de 1997;""
0 años;Total;1 de julio de 1997;364.743
0 años;Total;1 de abril de 1997;""
0 años;Total;1 de enero de 1997;361.026
0 años;Total;1 de octubre de 1996;""
0 años;Total;1 de julio de 1996;360.902
0 años;Total;1 de abril de 1996;""
0 años;Total;1 de enero de 1996;362.925
0 años;Total;1 de octubre de 1995;""
0 años;Total;1 de julio de 1995;364.040
0 años;Total;1 de abril de 1995;""
0 años;Total;1 de enero de 1995;368.535
0 años;Total;1 de octubre de 1994;""
0 años;Total;1 de julio de 1994;378.370
0 años;Total;1 de abril de 1994;""
0 años;Total;1 de enero de 1994;384.355
0 años;Total;1 de octubre de 1993;""
0 años;Total;1 de julio de 1993;390.629
0 años;Total;1 de abril de 1993;""
0 años;Total;1 de enero de 1993;395.547
0 años;Total;1 de octubre de 1992;""
0 años;Total;1 de julio de 1992;390.537
0 años;Total;1 de abril de 1992;""
0 años;Total;1 de enero de 1992;390.956
0 años;Total;1 de octubre de 1991;""
0 años;Total;1 de julio de 1991;386.412
0 años;Total;1 de abril de 1991;""
0 años;Total;1 de enero de 1991;390.639
0 años;Total;1 de octubre de 1990;""
