Total,Año,Edad,Grupo_Edad
3212820,2024,0,0
3384640,2024,1,0
3510510,2024,2,0
3565960,2024,3,0
3781410,2024,4,0
3978470,2024,5,0
4242110,2024,6,0
4468610,2024,7,0
4593870,2024,8,0
4678650,2024,9,0
4636580,2024,10,0
4897540,2024,11,0
5015250,2024,12,0
5128160,2024,13,0
5209190,2024,14,0
5442130,2024,15,0
5255240,2024,16,0
5250720,2024,17,0
5224250,2024,18,0
5276340,2024,19,0
5254180,2024,20,20
5141560,2024,21,20
5170770,2024,22,20
5263900,2024,23,20
5197200,2024,24,20
5110850,2024,25,20
5238680,2024,26,20
5227840,2024,27,20
5286140,2024,28,20
5372770,2024,29,20
5526170,2024,30,20
5675960,2024,31,20
5648150,2024,32,20
5726190,2024,33,20
5807530,2024,34,20
5898220,2024,35,20
5962840,2024,36,20
6085290,2024,37,20
6262770,2024,38,20
6478870,2024,39,20
6672100,2024,40,40
7018310,2024,41,40
7285180,2024,42,40
7611120,2024,43,40
7792840,2024,44,40
8105530,2024,45,40
8193610,2024,46,40
8312370,2024,47,40
8229980,2024,48,40
8154700,2024,49,40
7933960,2024,50,40
7882920,2024,51,40
7735390,2024,52,40
7611870,2024,53,40
7503470,2024,54,40
7416680,2024,55,40
7437520,2024,56,40
7229310,2024,57,40
7147630,2024,58,40
7207940,2024,59,40
6830300,2024,60,60
6575780,2024,61,60
6390900,2024,62,60
6377430,2024,63,60
6168100,2024,64,60
5990510,2024,65,60
5814190,2024,66,60
5391790,2024,67,60
5192070,2024,68,60
4908380,2024,69,60
4867110,2024,70,60
4791130,2024,71,60
4446890,2024,72,60
4277870,2024,73,60
4377170,2024,74,60
4496800,2024,75,60
4034420,2024,76,60
3778910,2024,77,60
3848580,2024,78,60
3563520,2024,79,60
3403710,2024,80,80
2835590,2024,81,80
2515860,2024,82,80
2939220,2024,83,80
1837330,2024,84,80
1961320,2024,85,80
2050660,2024,86,80
2061290,2024,87,80
1821060,2024,88,80
1609250,2024,89,80
1428980,2024,90,80
1223340,2024,91,80
967800,2024,92,80
797090,2024,93,80
597060,2024,94,80
461070,2024,95,80
323570,2024,96,80
236360,2024,97,80
163100,2024,98,80
111570,2024,99,80
66150,2024,100,100
