Total,Año,Edad
651607,1971,0
635646,1971,1
635129,1971,2
651761,1971,3
650102,1971,4
656254,1971,5
670336,1971,6
658308,1971,7
638198,1971,8
624256,1971,9
639306,1971,10
625966,1971,11
612596,1971,12
605184,1971,13
581055,1971,14
561325,1971,15
548498,1971,16
545163,1971,17
552746,1971,18
530202,1971,19
516563,1971,20
515730,1971,21
545464,1971,22
521380,1971,23
484975,1971,24
505288,1971,25
489897,1971,26
472350,1971,27
441632,1971,28
394777,1971,29
488093,1971,30
402766,1971,31
368858,1971,32
421043,1971,33
478567,1971,34
474126,1971,35
468286,1971,36
492332,1971,37
491554,1971,38
480146,1971,39
503737,1971,40
479390,1971,41
469110,1971,42
457174,1971,43
450330,1971,44
445232,1971,45
436076,1971,46
427720,1971,47
433071,1971,48
416971,1971,49
401966,1971,50
366844,1971,51
342950,1971,52
334580,1971,53
323218,1971,54
329629,1971,55
331411,1971,56
327336,1971,57
328456,1971,58
320433,1971,59
332552,1971,60
315625,1971,61
301711,1971,62
294636,1971,63
284522,1971,64
288271,1971,65
271592,1971,66
256528,1971,67
247239,1971,68
227480,1971,69
243099,1971,70
202910,1971,71
175565,1971,72
163580,1971,73
162263,1971,74
149889,1971,75
132285,1971,76
116757,1971,77
109745,1971,78
93051,1971,79
94180,1971,80
78122,1971,81
71645,1971,82
57837,1971,83
46942,1971,84
663793,1972,0
649400,1972,1
636390,1972,2
636451,1972,3
653224,1972,4
652288,1972,5
657366,1972,6
671534,1972,7
659449,1972,8
638930,1972,9
624593,1972,10
637231,1972,11
624233,1972,12
611047,1972,13
603401,1972,14
579018,1972,15
558601,1972,16
545253,1972,17
541307,1972,18
548520,1972,19
526641,1972,20
513009,1972,21
513590,1972,22
543871,1972,23
519909,1972,24
483952,1972,25
504430,1972,26
489331,1972,27
472277,1972,28
441584,1972,29
394930,1972,30
487631,1972,31
402764,1972,32
369053,1972,33
421001,1972,34
478889,1972,35
473939,1972,36
467909,1972,37
492045,1972,38
491257,1972,39
479898,1972,40
501827,1972,41
478319,1972,42
468450,1972,43
456308,1972,44
449450,1972,45
444170,1972,46
434918,1972,47
426490,1972,48
431156,1972,49
415157,1972,50
399149,1972,51
364506,1972,52
340882,1972,53
332380,1972,54
321202,1972,55
327450,1972,56
328930,1972,57
324683,1972,58
325504,1972,59
317263,1972,60
328165,1972,61
311421,1972,62
297380,1972,63
289922,1972,64
279007,1972,65
281392,1972,66
264809,1972,67
249462,1972,68
240100,1972,69
220246,1972,70
233573,1972,71
194496,1972,72
167108,1972,73
155235,1972,74
152849,1972,75
140589,1972,76
123178,1972,77
107876,1972,78
99059,1972,79
84648,1972,80
84828,1972,81
69623,1972,82
62959,1972,83
50050,1972,84
667002,1973,0
657959,1973,1
649140,1973,2
638278,1973,3
637915,1973,4
654786,1973,5
654528,1973,6
658505,1973,7
672747,1973,8
660621,1973,9
639688,1973,10
624941,1973,11
635146,1973,12
622504,1973,13
609482,1973,14
601589,1973,15
576942,1973,16
555836,1973,17
541961,1973,18
537409,1973,19
544251,1973,20
523081,1973,21
509490,1973,22
511442,1973,23
542284,1973,24
518437,1973,25
482928,1973,26
503559,1973,27
488786,1973,28
472221,1973,29
441534,1973,30
395056,1973,31
487115,1973,32
402734,1973,33
369265,1973,34
420975,1973,35
479190,1973,36
473714,1973,37
467503,1973,38
491710,1973,39
490919,1973,40
479636,1973,41
499883,1973,42
477213,1973,43
467831,1973,44
455410,1973,45
448599,1973,46
443017,1973,47
433650,1973,48
425185,1973,49
429249,1973,50
413264,1973,51
396524,1973,52
362045,1973,53
338867,1973,54
330087,1973,55
319081,1973,56
325274,1973,57
326437,1973,58
321892,1973,59
322520,1973,60
313940,1973,61
323821,1973,62
306952,1973,63
293277,1973,64
284968,1973,65
273314,1973,66
274653,1973,67
257764,1973,68
242597,1973,69
232720,1973,70
212858,1973,71
224559,1973,72
185746,1973,73
159278,1973,74
146928,1973,75
144297,1973,76
131390,1973,77
114152,1973,78
99152,1973,79
92104,1973,80
76521,1973,81
76196,1973,82
61266,1973,83
55142,1973,84
666113,1974,0
659970,1974,1
657203,1974,2
649940,1974,3
640322,1974,4
639459,1974,5
656387,1974,6
656810,1974,7
659666,1974,8
674001,1974,9
661827,1974,10
640473,1974,11
625302,1974,12
633072,1974,13
620751,1974,14
607886,1974,15
599752,1974,16
574843,1974,17
553034,1974,18
538630,1974,19
533465,1974,20
539976,1974,21
519546,1974,22
505943,1974,23
509244,1974,24
540659,1974,25
516987,1974,26
481925,1974,27
502707,1974,28
488269,1974,29
472173,1974,30
441491,1974,31
395180,1974,32
486560,1974,33
402718,1974,34
369452,1974,35
420884,1974,36
479427,1974,37
473470,1974,38
467072,1974,39
491303,1974,40
490556,1974,41
479343,1974,42
497877,1974,43
476102,1974,44
467127,1974,45
454449,1974,46
447590,1974,47
441778,1974,48
432293,1974,49
423784,1974,50
427157,1974,51
411251,1974,52
394017,1974,53
359515,1974,54
336592,1974,55
327670,1974,56
316802,1974,57
322788,1974,58
323626,1974,59
318964,1974,60
319214,1974,61
310406,1974,62
318793,1974,63
302242,1974,64
288502,1974,65
279836,1974,66
267450,1974,67
267213,1974,68
250508,1974,69
234991,1974,70
225058,1974,71
205015,1974,72
214282,1974,73
176853,1974,74
150759,1974,75
138401,1974,76
134954,1974,77
122144,1974,78
105158,1974,79
90535,1974,80
83235,1974,81
68531,1974,82
67040,1974,83
53432,1974,84
679664,1975,0
667915,1975,1
659342,1975,2
657403,1975,3
650859,1975,4
642428,1975,5
641058,1975,6
658029,1975,7
659120,1975,8
660842,1975,9
675277,1975,10
663043,1975,11
641250,1975,12
625644,1975,13
630956,1975,14
618969,1975,15
606268,1975,16
597896,1975,17
572723,1975,18
550216,1975,19
535299,1975,20
529542,1975,21
535725,1975,22
516024,1975,23
502409,1975,24
507105,1975,25
539061,1975,26
515529,1975,27
480936,1975,28
501860,1975,29
487742,1975,30
472130,1975,31
441453,1975,32
395300,1975,33
486013,1975,34
402690,1975,35
369586,1975,36
420746,1975,37
479613,1975,38
473135,1975,39
466592,1975,40
490842,1975,41
490083,1975,42
478947,1975,43
495805,1975,44
474840,1975,45
