Comunidad,Año,Total
01 Andalucía,1975,"15,77"
01 Andalucía,1976,"16,16"
01 Andalucía,1977,"16,35"
01 Andalucía,1978,"16,62"
01 Andalucía,1979,"16,81"
01 Andalucía,1980,"17,01"
01 Andalucía,1981,"17,16"
01 Andalucía,1982,"17,07"
01 Andalucía,1983,"17,00"
01 Andalucía,1984,"16,95"
01 Andalucía,1985,"16,93"
01 Andalucía,1986,"17,11"
01 Andalucía,1987,"17,28"
01 Andalucía,1988,"17,58"
01 Andalucía,1989,"17,82"
01 Andalucía,1990,"18,10"
01 Andalucía,1991,"18,37"
01 Andalucía,1992,"18,60"
01 Andalucía,1993,"18,81"
01 Andalucía,1994,"19,08"
01 Andalucía,1995,"19,39"
01 Andalucía,1996,"19,76"
01 Andalucía,1997,"20,10"
01 Andalucía,1998,"20,53"
01 Andalucía,1999,"20,91"
01 Andalucía,2000,"21,16"
01 Andalucía,2001,"21,49"
01 Andalucía,2002,"21,84"
01 Andalucía,2003,"21,89"
01 Andalucía,2004,"21,71"
01 Andalucía,2005,"21,42"
01 Andalucía,2006,"21,52"
01 Andalucía,2007,"21,38"
01 Andalucía,2008,"21,30"
01 Andalucía,2009,"21,62"
01 Andalucía,2010,"21,98"
01 Andalucía,2011,"22,47"
01 Andalucía,2012,"22,80"
01 Andalucía,2013,"23,25"
01 Andalucía,2014,"23,91"
01 Andalucía,2015,"24,42"
01 Andalucía,2016,"24,67"
01 Andalucía,2017,"25,08"
01 Andalucía,2018,"25,52"
01 Andalucía,2019,"25,93"
01 Andalucía,2020,"26,30"
01 Andalucía,2021,"26,68"
01 Andalucía,2022,"27,16"
01 Andalucía,2023,"27,63"
01 Andalucía,2024,"28,30"
02 Aragón,1975,"20,50"
02 Aragón,1976,"20,80"
02 Aragón,1977,"21,10"
02 Aragón,1978,"21,48"
02 Aragón,1979,"21,85"
02 Aragón,1980,"22,26"
02 Aragón,1981,"22,60"
02 Aragón,1982,"22,87"
02 Aragón,1983,"23,12"
02 Aragón,1984,"23,41"
02 Aragón,1985,"23,66"
02 Aragón,1986,"24,20"
02 Aragón,1987,"24,78"
02 Aragón,1988,"25,56"
02 Aragón,1989,"26,24"
02 Aragón,1990,"26,95"
02 Aragón,1991,"27,61"
02 Aragón,1992,"28,10"
02 Aragón,1993,"28,61"
02 Aragón,1994,"29,17"
02 Aragón,1995,"29,71"
02 Aragón,1996,"30,27"
02 Aragón,1997,"30,78"
02 Aragón,1998,"31,34"
02 Aragón,1999,"31,87"
02 Aragón,2000,"32,27"
02 Aragón,2001,"32,67"
02 Aragón,2002,"32,94"
02 Aragón,2003,"32,59"
02 Aragón,2004,"31,94"
02 Aragón,2005,"31,13"
02 Aragón,2006,"30,82"
02 Aragón,2007,"30,33"
02 Aragón,2008,"29,65"
02 Aragón,2009,"29,55"
02 Aragón,2010,"29,95"
02 Aragón,2011,"30,47"
02 Aragón,2012,"30,89"
02 Aragón,2013,"31,35"
02 Aragón,2014,"32,08"
02 Aragón,2015,"32,62"
02 Aragón,2016,"33,08"
02 Aragón,2017,"33,49"
02 Aragón,2018,"33,95"
02 Aragón,2019,"34,07"
02 Aragón,2020,"34,15"
02 Aragón,2021,"34,19"
02 Aragón,2022,"34,76"
02 Aragón,2023,"34,88"
02 Aragón,2024,"35,24"
"03 Asturias, Principado de",1975,"17,17"
"03 Asturias, Principado de",1976,"17,69"
"03 Asturias, Principado de",1977,"18,05"
"03 Asturias, Principado de",1978,"18,56"
"03 Asturias, Principado de",1979,"19,14"
"03 Asturias, Principado de",1980,"19,68"
"03 Asturias, Principado de",1981,"20,12"
"03 Asturias, Principado de",1982,"20,52"
"03 Asturias, Principado de",1983,"20,81"
"03 Asturias, Principado de",1984,"21,15"
"03 Asturias, Principado de",1985,"21,50"
"03 Asturias, Principado de",1986,"22,07"
"03 Asturias, Principado de",1987,"22,68"
"03 Asturias, Principado de",1988,"23,41"
"03 Asturias, Principado de",1989,"24,08"
"03 Asturias, Principado de",1990,"24,85"
"03 Asturias, Principado de",1991,"25,52"
"03 Asturias, Principado de",1992,"26,13"
"03 Asturias, Principado de",1993,"26,70"
"03 Asturias, Principado de",1994,"27,38"
"03 Asturias, Principado de",1995,"28,03"
"03 Asturias, Principado de",1996,"28,79"
"03 Asturias, Principado de",1997,"29,40"
"03 Asturias, Principado de",1998,"30,24"
"03 Asturias, Principado de",1999,"30,95"
"03 Asturias, Principado de",2000,"31,60"
"03 Asturias, Principado de",2001,"32,16"
"03 Asturias, Principado de",2002,"32,85"
"03 Asturias, Principado de",2003,"32,87"
"03 Asturias, Principado de",2004,"32,75"
"03 Asturias, Principado de",2005,"32,45"
"03 Asturias, Principado de",2006,"32,49"
"03 Asturias, Principado de",2007,"32,44"
"03 Asturias, Principado de",2008,"32,27"
"03 Asturias, Principado de",2009,"32,49"
"03 Asturias, Principado de",2010,"32,95"
"03 Asturias, Principado de",2011,"33,68"
"03 Asturias, Principado de",2012,"34,46"
"03 Asturias, Principado de",2013,"35,22"
"03 Asturias, Principado de",2014,"36,35"
"03 Asturias, Principado de",2015,"37,42"
"03 Asturias, Principado de",2016,"38,25"
"03 Asturias, Principado de",2017,"39,07"
"03 Asturias, Principado de",2018,"40,08"
"03 Asturias, Principado de",2019,"41,09"
"03 Asturias, Principado de",2020,"42,01"
"03 Asturias, Principado de",2021,"42,79"
